,cluster,cluster_label,seasonal_ndvi_integral,percentile_in_cluster,acres,estimated_yield_bu_ac,estimated_total_bushels,confidence
3131100001,1,"Corn-like (early peak, fast decline)",89.80968651049324,90.96402087338643,79.34024173916501,251.31435457092158,19939.34164417915,0.5320217768172093
3131100002,1,"Corn-like (early peak, fast decline)",81.32465215354057,34.66080747047515,155.84456042156197,242.20974278556437,37747.07089423587,0.716291944977875
3131200001,1,"Corn-like (early peak, fast decline)",83.67746261080606,50.97500686624554,79.6173648146023,244.73435552332873,19485.104466367444,0.6716952939306623
3131200002,2,"Soybean-like (later peak, slower decline)",71.7949161050804,19.3423155971683,80.44052963440255,68.9633638889999,5547.449516601183,0.6080620520858675
3131300002,2,"Soybean-like (later peak, slower decline)",72.56248077761224,22.15117606759534,79.1279461038811,69.69470473129383,5514.798839703725,0.6726620582245582
3131400003,2,"Soybean-like (later peak, slower decline)",74.64517659457704,32.952728933546474,75.13389851427783,71.67911147580551,5385.531087216779,0.7515971197324371
3131400005,2,"Soybean-like (later peak, slower decline)",78.0706382120549,53.64238410596026,79.11774830367118,74.94291461086691,5929.314655326089,0.6683366860228515
3132100006,2,"Soybean-like (later peak, slower decline)",74.83218607644686,34.07170586891984,79.14565580377084,71.85729538249377,5687.192767332744,0.6760529453101825
3132100008,1,"Corn-like (early peak, fast decline)",76.14291593359556,12.029662180719583,80.7549396674847,236.6496360526946,19110.627081767565,0.6003995452221482
3132200001,2,"Soybean-like (later peak, slower decline)",79.2431119991065,60.90431605389358,39.35787588661913,76.06005561236904,2993.5622287209694,0.720746954384646
3132200002,1,"Corn-like (early peak, fast decline)",84.10710549050226,54.27080472397693,81.29979794319281,245.19537093722295,19934.334113802437,0.6406482928554481
3132200003,2,"Soybean-like (later peak, slower decline)",83.46877036696213,84.65403060059374,40.40526918995161,80.08629165551592,3235.9081727660964,0.847504366244388
3132300001,2,"Soybean-like (later peak, slower decline)",67.22288212319617,6.462662708380909,39.74340764971774,64.60709880415914,2567.706264839288,0.6870890367898536
3132300005,2,"Soybean-like (later peak, slower decline)",71.65173529239239,18.680063941539164,40.30969028048902,68.82694023650664,2774.3926438873104,0.6422681115572354
3132300011,1,"Corn-like (early peak, fast decline)",90.21624331607472,91.89783026641032,77.96786444887779,251.75059816497154,19628.456512650402,0.5184698406710188
3132400002,1,"Corn-like (early peak, fast decline)",86.41587562930992,72.83713265586378,79.06996991714942,247.67272753133557,19583.47511520105,0.5905522592589075
3132400003,2,"Soybean-like (later peak, slower decline)",82.98511385122053,82.82712948161681,40.40872631449505,79.62546043664722,3217.563438450131,0.632714898145672
3132400004,1,"Corn-like (early peak, fast decline)",80.65327562482706,29.689645701730292,40.06774000405199,241.48934232534364,9675.932182041377,0.5278200752286644
3133100006,2,"Soybean-like (later peak, slower decline)",70.78830246227359,15.414478191367891,158.9188240631038,68.00425556140246,10807.156325104866,0.6873676849876373
3133200002,2,"Soybean-like (later peak, slower decline)",80.75233241708938,70.60972824845855,110.68422831386162,77.49805109495686,8577.811981273519,0.707431259186586
3133200004,2,"Soybean-like (later peak, slower decline)",73.07222495506744,24.45763873030372,49.81293588975281,70.18039245173676,3495.8913899160552,0.6343464368523134
3133300002,2,"Soybean-like (later peak, slower decline)",75.36217594322002,36.903402603334094,157.79423461392597,72.36227333346514,11418.349535577838,0.6969145348152124
3133400003,1,"Corn-like (early peak, fast decline)",93.58282231404937,96.9239219994507,80.28044541887868,255.36300484853203,20500.65577274343,0.604670230752132
3133400005,0,Non-row-crop (already green in April),86.08495212844642,22.459546925566343,78.80123975463998,,,1.0
3134100001,1,"Corn-like (early peak, fast decline)",90.03695264796177,91.4858555341939,40.1663663230969,251.5582156876315,10104.179442894028,0.7540620521468308
3134100004,2,"Soybean-like (later peak, slower decline)",79.96862537295536,65.2203699474766,44.751121841983995,76.75132969117197,3434.708106543921,0.6910367603115597
3134100005,2,"Soybean-like (later peak, slower decline)",79.71028633384437,63.8501941082439,34.82519779416623,76.50518249703701,2664.3081127380983,0.7092028994454074
3134100006,2,"Soybean-like (later peak, slower decline)",78.27975650596309,54.944051153231335,78.29509531525251,75.1421639440878,5883.262888196685,0.7094639316037319
3134200002,1,"Corn-like (early peak, fast decline)",88.3376043619395,84.94918978302664,80.33699293489889,249.73478094577132,20062.941332438953,0.6484159283365156
3134200005,2,"Soybean-like (later peak, slower decline)",79.41309305511707,61.703585293446,39.71640109980132,76.22201471904172,3027.264109216421,0.7414521213487527
3134300003,2,"Soybean-like (later peak, slower decline)",81.57217839259783,75.47385247773464,26.984950411231843,78.27920591843497,2112.3604899395737,0.6741565403974896
3134300005,2,"Soybean-like (later peak, slower decline)",78.7896789006971,58.07261931947934,80.04530268153849,75.62802147116652,6053.667869865416,0.7085806209824723
3134300006,2,"Soybean-like (later peak, slower decline)",80.10838609583374,66.06531171500343,50.507612475519885,76.88449465882523,3883.2522616041233,0.7486117262122222
3134400002,1,"Corn-like (early peak, fast decline)",88.34752961582288,85.00411974732216,78.53260790272837,249.7454309419502,19613.160003662102,0.5954897836408118
3134400003,1,"Corn-like (early peak, fast decline)",86.21843389667458,71.6012084592145,79.7249797347851,247.46086859827182,19728.81273414954,0.5894342447489735
3135100002,1,"Corn-like (early peak, fast decline)",80.30104205831998,27.602307058500415,19.248156489833047,241.1113886546916,4640.949740306461,0.5912243781819546
3135100005,1,"Corn-like (early peak, fast decline)",85.87395619903103,69.23921999450701,25.364925722090526,247.09123713022854,6267.450876387703,0.6677750815103495
3135100007,1,"Corn-like (early peak, fast decline)",85.64381133024257,67.15188135127713,24.77456318853359,246.84428707716322,6115.4593879217055,0.5782981926426382
3135100008,1,"Corn-like (early peak, fast decline)",82.65415143154404,43.4221367756111,87.39774352534631,243.63632213526557,21293.264795436597,0.5257971033841403
3135200002,0,Non-row-crop (already green in April),78.9728264358237,10.87378640776699,15.870893508109067,,,0.7738607055536645
3135200003,1,"Corn-like (early peak, fast decline)",79.5959461647355,24.169184290030213,142.6565668520822,240.35480664070414,34288.1915417589,0.577576609245936
3135300001,2,"Soybean-like (later peak, slower decline)",73.92571192137906,28.97921899977164,79.7320380165183,70.99360064013646,5660.464465168879,0.7386602431301397
3135300005,1,"Corn-like (early peak, fast decline)",66.24339999184086,3.350727822026916,78.34392178996545,226.02725720059507,17707.861760523825,0.6240023265734045
3135400002,1,"Corn-like (early peak, fast decline)",77.82504475903322,17.220543806646525,40.28366830408825,238.4545939685125,9605.825769013602,0.6178367086311723
3135400004,2,"Soybean-like (later peak, slower decline)",87.95349370648093,96.25485270609728,19.598784164959852,84.35936656627254,1653.341017625106,0.5677027903542966
3135400005,1,"Corn-like (early peak, fast decline)",85.67833655550938,67.42653117275474,19.102303103656983,246.88133333527276,4716.002060005355,0.5417973400369721
3135400006,0,Non-row-crop (already green in April),90.69250767472754,31.5210355987055,19.41798318783297,,,1.0
