,early_ndvi,peak_ndvi,peak_doy,green_up_rate,decline_rate,cluster,confidence
0435300004,0.1072764748021176,0.72783812498435,211,0.03481211299209894,-0.021716678358186726,2,1.0
0435300005,0.11284607956089925,0.6761144264457152,234,0.018404844959782576,-0.01374677879652026,2,1.0
0435400003,0.19453156634074886,0.6702111965272485,234,0.03129652110870226,-0.02048592789335431,0,0.5917062084794548
0435400006,0.11770054269038835,0.8000205211334372,234,0.02903856535838103,-0.01921429995427649,2,1.0
0435400008,0.13088195970166513,0.771859958588691,234,0.024580325359739176,-0.01892875554467341,2,1.0
0435400009,0.23267491658528647,0.7941224416097005,234,0.02483984582026683,-0.019040420060946934,0,1.0
0436100002,0.10283055174695377,0.7543832559501176,195,0.0403553989158828,-0.07596314460270778,1,0.7129882455959912
0436100003,0.11189629842173708,0.7419406206179888,195,0.04112706788518522,-0.07336838950713945,1,0.7129882455959912
0436100004,0.10538401291801709,0.73998537168398,195,0.033005648690136086,-0.04396734262408725,1,0.7129882455959912
0436200003,0.10379140332397004,0.7501584932896379,199,0.03275521908232304,-0.019959726360875438,2,0.5
0436200004,0.10617413503174129,0.7034531617775942,211,0.030725314991304906,-0.024627569817198006,2,1.0
0436200005,0.1094275203751929,0.7161069703333586,211,0.03476608438911553,-0.022682265766387252,2,1.0
0436200006,0.12406739734468006,0.7156129297422094,199,0.0585797833670566,-0.02319275278238851,1,0.5
0436300062,0.11836563611043403,0.7259349158747279,195,0.035457651172819626,-0.08244400431494635,1,0.7129882455959912
0436300063,0.10672311497765728,0.7153470487933856,195,0.03939583964095917,-0.056819896547423726,1,0.7129882455959912
0436400002,0.103731770363154,0.7367903112963409,234,0.02475667303012381,-0.021644809477360367,2,1.0
1001100001,0.1120415996434277,0.6601041608950207,234,0.03834616002957737,-0.03091693991418433,2,1.0
1001100004,0.12412111633470166,0.744308354051033,234,0.021734131362780018,-0.014567201924019123,2,1.0
1001100011,0.1003561580882353,0.7679985072786008,199,0.03149577941216124,-0.02891242842396967,2,0.5
1001100012,0.09837838238703679,0.7970528326988813,234,0.024835009947666076,-0.00941417036445745,2,1.0
1001100013,0.10624498934359164,0.8132744116630836,234,0.027947594608874325,-0.007999299420388404,2,1.0
1001100014,0.11232761844796244,0.728207388676905,234,0.01934027110282229,-0.00961209687638014,2,1.0
1001200001,0.1478197872729813,0.7516455421459416,234,0.02317487893039566,-0.023077728558098556,2,1.0
1001200002,0.10980851550771373,0.6941180319611252,199,0.02624136502558244,-0.04337637457886026,2,0.5
1001200003,0.1152663220507387,0.7033776233070775,195,0.02103864528479714,-0.029550711325358848,1,0.7129882455959912
1001200006,0.12160533558238637,0.6994858032879345,199,0.03919938944370609,-0.027755124920154105,2,0.5
1001400003,0.09838025934700816,0.6553920438919945,195,0.026479655029596573,-0.03301732035353597,1,0.7129882455959912
1002100001,0.10696665840492166,0.6929103986591312,195,0.03135757186757754,-0.02737598055903888,1,0.7129882455959912
1002100002,0.1013425453517426,0.8280888045598634,199,0.026437920072242695,-0.022774022335081537,2,0.5
1002100003,0.10938365041473766,0.8156259645061729,234,0.023992551956015462,-0.007967374344012504,2,1.0
1002200003,0.09838460460645423,0.7198138650693849,234,0.018078642510326003,-0.015703750053474325,2,1.0
1002200004,0.12684801866381948,0.7611695705462322,199,0.03904457719314417,-0.026635622915411744,2,0.5
1002200005,0.09903025996662856,0.7318729748285415,234,0.021025104894574674,-0.019487027951153334,2,1.0
1002200006,0.09851466397233702,0.7173972648660136,195,0.034985609410410776,-0.026679011407809365,1,0.7129882455959912
